model,scenario,region,variable,unit,year,value,Category,Ssp_family
IMAGE 3.0,EN_INDCi2030_800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-5801.128745079041,C3,2.0
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,164.708060314599,C2,2.0
GCAM 5.3,R_MAC_60_n8,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2498.71245570657,C2,2.0
POLES ENGAGE,EN_NPi2020_500f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,827.6907958984375,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6815.868269541555,C5,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_COV_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6592.832833209747,C5,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,341.4997762905971,C2,2.0
REMIND-Transport 2.1,Transport_Budg1100_H2Push,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,233.0243,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1612.052598490024,C3,2.0
IMAGE 3.0,EN_NPi2020_800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-6566.270510355631,C3,2.0
WITCH 5.0,EN_INDCi2030_2000_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1787.238200366282,C5,2.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1319.66,C1,2.0
IMAGE 3.0,EN_NPi2020_1000f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-5251.795848210651,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,8498.129051171845,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,657.3816,C2,2.0
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_none,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,4920.2973,C5,2.0
